Series ID,Year,Period,Label,Value,Change in Index,Inflation_Rate
CUURS35BSA0,1980,M01,1980 Jan,76.5,0,0
CUURS35BSA0,1980,M03,1980 Mar,79.2,-2.7,-3.5
CUURS35BSA0,1980,M05,1980 May,80.5,-1.3,-1.6
CUURS35BSA0,1980,M07,1980 Jul,82.9,-2.4,-3.0
CUURS35BSA0,1980,M09,1980 Sep,82.6,0.3,0.4
CUURS35BSA0,1980,M11,1980 Nov,83.1,-0.5,-0.6
CUURS35BSA0,1981,M01,1981 Jan,85.2,-2.1,-2.5
CUURS35BSA0,1981,M03,1981 Mar,86.9,-1.7,-2.0
CUURS35BSA0,1981,M05,1981 May,88.8,-1.9,-2.2
CUURS35BSA0,1981,M07,1981 Jul,90.6,-1.8,-2.0
CUURS35BSA0,1981,M09,1981 Sep,93.2,-2.6,-2.9
CUURS35BSA0,1981,M11,1981 Nov,95.3,-2.1,-2.3
CUURS35BSA0,1982,M01,1982 Jan,96.3,-1.0,-1.0
CUURS35BSA0,1982,M03,1982 Mar,96.2,0.1,0.1
CUURS35BSA0,1982,M05,1982 May,96.6,-0.4,-0.4
CUURS35BSA0,1982,M07,1982 Jul,96.2,0.4,0.4
CUURS35BSA0,1982,M09,1982 Sep,96.8,-0.6,-0.6
CUURS35BSA0,1982,M11,1982 Nov,97.3,-0.5,-0.5
CUURS35BSA0,1983,M01,1983 Jan,98.0,-0.7,-0.7
CUURS35BSA0,1983,M03,1983 Mar,98.6,-0.6,-0.6
CUURS35BSA0,1983,M05,1983 May,98.9,-0.3,-0.3
CUURS35BSA0,1983,M07,1983 Jul,99.8,-0.9,-0.9
CUURS35BSA0,1983,M09,1983 Sep,101.1,-1.3,-1.3
CUURS35BSA0,1983,M11,1983 Nov,101.7,-0.6,-0.6
CUURS35BSA0,1984,M01,1984 Jan,102.4,-0.7,-0.7
CUURS35BSA0,1984,M03,1984 Mar,102.7,-0.3,-0.3
CUURS35BSA0,1984,M05,1984 May,103.2,-0.5,-0.5
CUURS35BSA0,1984,M07,1984 Jul,103.6,-0.4,-0.4
CUURS35BSA0,1984,M09,1984 Sep,104.2,-0.6,-0.6
CUURS35BSA0,1984,M11,1984 Nov,104.4,-0.2,-0.2
CUURS35BSA0,1985,M01,1985 Jan,104.6,-0.2,-0.2
CUURS35BSA0,1985,M03,1985 Mar,105.5,-0.9,-0.9
CUURS35BSA0,1985,M05,1985 May,106.1,-0.6,-0.6
CUURS35BSA0,1985,M07,1985 Jul,106.3,-0.2,-0.2
CUURS35BSA0,1985,M09,1985 Sep,107.6,-1.3,-1.2
CUURS35BSA0,1985,M11,1985 Nov,107.9,-0.3,-0.3
CUURS35BSA0,1986,M01,1986 Jan,108.3,-0.4,-0.4
CUURS35BSA0,1986,M03,1986 Mar,108.3,0.0,0.0
CUURS35BSA0,1986,M05,1986 May,107.3,1.0,0.9
CUURS35BSA0,1986,M07,1986 Jul,106.2,1.1,1.0
CUURS35BSA0,1986,M09,1986 Sep,108.1,-1.9,-1.8
CUURS35BSA0,1986,M11,1986 Nov,109.1,-1.0,-0.9
CUURS35BSA0,1987,M01,1987 Jan,109.9,-0.8,-0.7
CUURS35BSA0,1987,M03,1987 Mar,110.7,-0.8,-0.7
CUURS35BSA0,1987,M05,1987 May,111.1,-0.4,-0.4
CUURS35BSA0,1987,M07,1987 Jul,112.0,-0.9,-0.8
CUURS35BSA0,1987,M09,1987 Sep,112.5,-0.5,-0.4
CUURS35BSA0,1987,M11,1987 Nov,113.8,-1.3,-1.2
CUURS35BSA0,1988,M01,1988 Jan,114.5,-0.7,-0.6
CUURS35BSA0,1988,M03,1988 Mar,115.1,-0.6,-0.5
CUURS35BSA0,1988,M05,1988 May,116.2,-1.1,-1.0
CUURS35BSA0,1988,M07,1988 Jul,116.8,-0.6,-0.5
CUURS35BSA0,1988,M09,1988 Sep,118.8,-2.0,-1.7
CUURS35BSA0,1988,M11,1988 Nov,118.3,0.5,0.4
CUURS35BSA0,1989,M01,1989 Jan,120.0,-1.7,-1.4
CUURS35BSA0,1989,M03,1989 Mar,119.8,0.2,0.2
CUURS35BSA0,1989,M05,1989 May,120.9,-1.1,-0.9
CUURS35BSA0,1989,M07,1989 Jul,121.6,-0.7,-0.6
CUURS35BSA0,1989,M09,1989 Sep,122.9,-1.3,-1.1
CUURS35BSA0,1989,M11,1989 Nov,123.0,-0.1,-0.1
CUURS35BSA0,1990,M01,1990 Jan,124.6,-1.6,-1.3
CUURS35BSA0,1990,M03,1990 Mar,125.1,-0.5,-0.4
CUURS35BSA0,1990,M05,1990 May,126.4,-1.3,-1.0
CUURS35BSA0,1990,M07,1990 Jul,128.7,-2.3,-1.8
CUURS35BSA0,1990,M09,1990 Sep,130.1,-1.4,-1.1
CUURS35BSA0,1990,M11,1990 Nov,131.2,-1.1,-0.8
CUURS35BSA0,1991,M01,1991 Jan,131.5,-0.3,-0.2
CUURS35BSA0,1991,M03,1991 Mar,132.0,-0.5,-0.4
CUURS35BSA0,1991,M05,1991 May,132.0,0.0,0.0
CUURS35BSA0,1991,M07,1991 Jul,132.0,0.0,0.0
CUURS35BSA0,1991,M09,1991 Sep,132.1,-0.1,-0.1
CUURS35BSA0,1991,M11,1991 Nov,133.5,-1.4,-1.1
CUURS35BSA0,1992,M01,1992 Jan,133.7,-0.2,-0.1
CUURS35BSA0,1992,M03,1992 Mar,134.5,-0.8,-0.6
CUURS35BSA0,1992,M05,1992 May,133.7,0.8,0.6
CUURS35BSA0,1992,M07,1992 Jul,133.8,-0.1,-0.1
CUURS35BSA0,1992,M09,1992 Sep,134.6,-0.8,-0.6
CUURS35BSA0,1992,M11,1992 Nov,135.9,-1.3,-1.0
CUURS35BSA0,1993,M01,1993 Jan,137.8,-1.9,-1.4
CUURS35BSA0,1993,M03,1993 Mar,139.2,-1.4,-1.0
CUURS35BSA0,1993,M05,1993 May,139.0,0.2,0.1
CUURS35BSA0,1993,M07,1993 Jul,139.0,0.0,0.0
CUURS35BSA0,1993,M09,1993 Sep,139.2,-0.2,-0.1
CUURS35BSA0,1993,M11,1993 Nov,139.8,-0.6,-0.4
CUURS35BSA0,1994,M01,1994 Jan,141.0,-1.2,-0.9
CUURS35BSA0,1994,M03,1994 Mar,143.5,-2.5,-1.8
CUURS35BSA0,1994,M05,1994 May,143.3,0.2,0.1
CUURS35BSA0,1994,M07,1994 Jul,143.4,-0.1,-0.1
CUURS35BSA0,1994,M09,1994 Sep,144.5,-1.1,-0.8
CUURS35BSA0,1994,M11,1994 Nov,144.5,0.0,0.0
CUURS35BSA0,1995,M01,1995 Jan,147.3,-2.8,-1.9
CUURS35BSA0,1995,M03,1995 Mar,148.7,-1.4,-1.0
CUURS35BSA0,1995,M05,1995 May,148.6,0.1,0.1
CUURS35BSA0,1995,M07,1995 Jul,148.3,0.3,0.2
CUURS35BSA0,1995,M09,1995 Sep,148.9,-0.6,-0.4
CUURS35BSA0,1995,M11,1995 Nov,150.2,-1.3,-0.9
CUURS35BSA0,1996,M01,1996 Jan,152.0,-1.8,-1.2
CUURS35BSA0,1996,M03,1996 Mar,152.4,-0.4,-0.3
CUURS35BSA0,1996,M05,1996 May,152.6,-0.2,-0.1
CUURS35BSA0,1996,M07,1996 Jul,152.4,0.2,0.1
CUURS35BSA0,1996,M09,1996 Sep,154.6,-2.2,-1.4
CUURS35BSA0,1996,M11,1996 Nov,156.4,-1.8,-1.2
CUURS35BSA0,1997,M01,1997 Jan,158.1,-1.7,-1.1
CUURS35BSA0,1997,M03,1997 Mar,158.5,-0.4,-0.3
CUURS35BSA0,1997,M05,1997 May,157.9,0.6,0.4
CUURS35BSA0,1997,M07,1997 Jul,157.9,0.0,0.0
CUURS35BSA0,1997,M09,1997 Sep,158.5,-0.6,-0.4
CUURS35BSA0,1997,M11,1997 Nov,159.5,-1.0,-0.6
CUURS35BSA0,1998,M02,1998 Feb,160.2,-0.7,-0.4
CUURS35BSA0,1998,M04,1998 Apr,160.2,0.0,0.0
CUURS35BSA0,1998,M06,1998 Jun,160.2,0.0,0.0
CUURS35BSA0,1998,M08,1998 Aug,160.8,-0.6,-0.4
CUURS35BSA0,1998,M10,1998 Oct,161.1,-0.3,-0.2
CUURS35BSA0,1998,M12,1998 Dec,161.1,0.0,0.0
CUURS35BSA0,1999,M02,1999 Feb,161.4,-0.3,-0.2
CUURS35BSA0,1999,M04,1999 Apr,161.7,-0.3,-0.2
CUURS35BSA0,1999,M06,1999 Jun,161.3,0.4,0.2
CUURS35BSA0,1999,M08,1999 Aug,162.3,-1.0,-0.6
CUURS35BSA0,1999,M10,1999 Oct,164.1,-1.8,-1.1
CUURS35BSA0,1999,M12,1999 Dec,164.8,-0.7,-0.4
CUURS35BSA0,2000,M02,2000 Feb,165.9,-1.1,-0.7
CUURS35BSA0,2000,M04,2000 Apr,166.9,-1.0,-0.6
CUURS35BSA0,2000,M06,2000 Jun,168.0,-1.1,-0.7
CUURS35BSA0,2000,M08,2000 Aug,168.4,-0.4,-0.2
CUURS35BSA0,2000,M10,2000 Oct,169.6,-1.2,-0.7
CUURS35BSA0,2000,M12,2000 Dec,169.5,0.1,0.1
CUURS35BSA0,2001,M02,2001 Feb,171.9,-2.4,-1.4
CUURS35BSA0,2001,M04,2001 Apr,172.8,-0.9,-0.5
CUURS35BSA0,2001,M06,2001 Jun,173.5,-0.7,-0.4
CUURS35BSA0,2001,M08,2001 Aug,173.5,0.0,0.0
CUURS35BSA0,2001,M10,2001 Oct,174.2,-0.7,-0.4
CUURS35BSA0,2001,M12,2001 Dec,173.1,1.1,0.6
CUURS35BSA0,2002,M02,2002 Feb,175.0,-1.9,-1.1
CUURS35BSA0,2002,M04,2002 Apr,175.0,0.0,0.0
CUURS35BSA0,2002,M06,2002 Jun,174.4,0.6,0.3
CUURS35BSA0,2002,M08,2002 Aug,175.2,-0.8,-0.5
CUURS35BSA0,2002,M10,2002 Oct,177.0,-1.8,-1.0
CUURS35BSA0,2002,M12,2002 Dec,177.9,-0.9,-0.5
CUURS35BSA0,2003,M02,2003 Feb,180.3,-2.4,-1.3
CUURS35BSA0,2003,M04,2003 Apr,180.6,-0.3,-0.2
CUURS35BSA0,2003,M06,2003 Jun,179.4,1.2,0.7
CUURS35BSA0,2003,M08,2003 Aug,180.9,-1.5,-0.8
CUURS35BSA0,2003,M10,2003 Oct,181.6,-0.7,-0.4
CUURS35BSA0,2003,M12,2003 Dec,181.6,0.0,0.0
CUURS35BSA0,2004,M02,2004 Feb,183.6,-2.0,-1.1
CUURS35BSA0,2004,M04,2004 Apr,185.2,-1.6,-0.9
CUURS35BSA0,2004,M06,2004 Jun,185.6,-0.4,-0.2
CUURS35BSA0,2004,M08,2004 Aug,185.1,0.5,0.3
CUURS35BSA0,2004,M10,2004 Oct,187.0,-1.9,-1.0
CUURS35BSA0,2004,M12,2004 Dec,188.6,-1.6,-0.9
CUURS35BSA0,2005,M02,2005 Feb,190.6,-2.0,-1.1
CUURS35BSA0,2005,M04,2005 Apr,193.2,-2.6,-1.4
CUURS35BSA0,2005,M06,2005 Jun,192.6,0.6,0.3
CUURS35BSA0,2005,M08,2005 Aug,195.6,-3.0,-1.6
CUURS35BSA0,2005,M10,2005 Oct,198.8,-3.2,-1.6
CUURS35BSA0,2005,M12,2005 Dec,197.4,1.4,0.7
CUURS35BSA0,2006,M02,2006 Feb,202.2,-4.8,-2.4
CUURS35BSA0,2006,M04,2006 Apr,203.8,-1.6,-0.8
CUURS35BSA0,2006,M06,2006 Jun,203.8,0.0,0.0
CUURS35BSA0,2006,M08,2006 Aug,205.6,-1.8,-0.9
CUURS35BSA0,2006,M10,2006 Oct,204.8,0.8,0.4
CUURS35BSA0,2006,M12,2006 Dec,205.4,-0.6,-0.3
CUURS35BSA0,2007,M02,2007 Feb,207.989,-2.589,-1.26046738072055
CUURS35BSA0,2007,M04,2007 Apr,210.904,-2.915,-1.402
CUURS35BSA0,2007,M06,2007 Jun,212.820,-1.916,-0.908
CUURS35BSA0,2007,M08,2007 Aug,213.127,-0.307,-0.144
CUURS35BSA0,2007,M10,2007 Oct,215.159,-2.032,-0.953
CUURS35BSA0,2007,M12,2007 Dec,217.319,-2.160,-1.004
CUURS35BSA0,2008,M02,2008 Feb,219.082,-1.763,-0.811
CUURS35BSA0,2008,M04,2008 Apr,221.324,-2.242,-1.023
CUURS35BSA0,2008,M06,2008 Jun,225.079,-3.755,-1.697
CUURS35BSA0,2008,M08,2008 Aug,225.473,-0.394,-0.175
CUURS35BSA0,2008,M10,2008 Oct,223.699,1.774,0.787
CUURS35BSA0,2008,M12,2008 Dec,218.324,5.375,2.403
CUURS35BSA0,2009,M02,2009 Feb,220.589,-2.265,-1.037
CUURS35BSA0,2009,M04,2009 Apr,220.740,-0.151,-0.068
CUURS35BSA0,2009,M06,2009 Jun,221.485,-0.745,-0.338
CUURS35BSA0,2009,M08,2009 Aug,221.306,0.179,0.081
CUURS35BSA0,2009,M10,2009 Oct,222.416,-1.110,-0.502
CUURS35BSA0,2009,M12,2009 Dec,222.943,-0.527,-0.237
CUURS35BSA0,2010,M02,2010 Feb,222.505,0.438,0.196
CUURS35BSA0,2010,M04,2010 Apr,222.625,-0.120,-0.054
CUURS35BSA0,2010,M06,2010 Jun,222.390,0.235,0.106
CUURS35BSA0,2010,M08,2010 Aug,222.803,-0.413,-0.186
CUURS35BSA0,2010,M10,2010 Oct,223.631,-0.828,-0.372
CUURS35BSA0,2010,M12,2010 Dec,224.907,-1.276,-0.571
CUURS35BSA0,2011,M02,2011 Feb,227.451,-2.544,-1.131
CUURS35BSA0,2011,M04,2011 Apr,231.503,-4.052,-1.781
CUURS35BSA0,2011,M06,2011 Jun,231.197,0.306,0.132
CUURS35BSA0,2011,M08,2011 Aug,232.749,-1.552,-0.671
CUURS35BSA0,2011,M10,2011 Oct,232.141,0.608,0.261
CUURS35BSA0,2011,M12,2011 Dec,231.794,0.347,0.149
CUURS35BSA0,2012,M02,2012 Feb,234.043,-2.249,-0.970
CUURS35BSA0,2012,M04,2012 Apr,236.095,-2.052,-0.877
CUURS35BSA0,2012,M06,2012 Jun,233.991,2.104,0.891
CUURS35BSA0,2012,M08,2012 Aug,236.110,-2.119,-0.906
CUURS35BSA0,2012,M10,2012 Oct,236.793,-0.683,-0.289
CUURS35BSA0,2012,M12,2012 Dec,235.023,1.770,0.747
CUURS35BSA0,2013,M02,2013 Feb,238.524,-3.501,-1.490
CUURS35BSA0,2013,M04,2013 Apr,238.124,0.400,0.168
CUURS35BSA0,2013,M06,2013 Jun,237.815,0.309,0.130
CUURS35BSA0,2013,M08,2013 Aug,237.438,0.377,0.159
CUURS35BSA0,2013,M10,2013 Oct,238.858,-1.420,-0.598
CUURS35BSA0,2013,M12,2013 Dec,239.417,-0.559,-0.234
CUURS35BSA0,2014,M02,2014 Feb,242.268,-2.851,-1.191
CUURS35BSA0,2014,M04,2014 Apr,244.073,-1.805,-0.745
CUURS35BSA0,2014,M06,2014 Jun,243.428,0.645,0.264
CUURS35BSA0,2014,M08,2014 Aug,243.124,0.304,0.125
CUURS35BSA0,2014,M10,2014 Oct,244.130,-1.006,-0.414
CUURS35BSA0,2014,M12,2014 Dec,242.676,1.454,0.596
CUURS35BSA0,2015,M02,2015 Feb,243.283,-0.607,-0.250
CUURS35BSA0,2015,M04,2015 Apr,245.195,-1.912,-0.786
CUURS35BSA0,2015,M06,2015 Jun,246.245,-1.050,-0.428
CUURS35BSA0,2015,M08,2015 Aug,246.348,-0.103,-0.042
CUURS35BSA0,2015,M10,2015 Oct,246.789,-0.441,-0.179
CUURS35BSA0,2015,M12,2015 Dec,246.597,0.192,0.078
CUURS35BSA0,2016,M02,2016 Feb,247.126,-0.529,-0.215
CUURS35BSA0,2016,M04,2016 Apr,248.741,-1.615,-0.654
CUURS35BSA0,2016,M06,2016 Jun,250.208,-1.467,-0.590
CUURS35BSA0,2016,M08,2016 Aug,250.263,-0.055,-0.022
CUURS35BSA0,2016,M10,2016 Oct,251.571,-1.308,-0.523
CUURS35BSA0,2016,M12,2016 Dec,253.629,-2.058,-0.818
CUURS35BSA0,2017,M02,2017 Feb,256.890,-3.261,-1.286
CUURS35BSA0,2017,M04,2017 Apr,255.708,1.182,0.460
CUURS35BSA0,2017,M06,2017 Jun,255.134,0.574,0.224
CUURS35BSA0,2017,M08,2017 Aug,255.898,-0.764,-0.299
CUURS35BSA0,2017,M10,2017 Oct,258.456,-2.558,-1.000
CUURS35BSA0,2017,M12,2017 Dec,258.238,0.218,0.084
CUURS35BSA0,2018,M02,2018 Feb,264.990,-6.752,-2.615
CUURS35BSA0,2018,M04,2018 Apr,264.696,0.294,0.111
CUURS35BSA0,2018,M06,2018 Jun,265.973,-1.277,-0.482
CUURS35BSA0,2018,M08,2018 Aug,265.062,0.911,0.343
CUURS35BSA0,2018,M10,2018 Oct,267.280,-2.218,-0.837
CUURS35BSA0,2018,M12,2018 Dec,265.731,1.549,0.580
CUURS35BSA0,2019,M02,2019 Feb,268.288,-2.557,-0.962
CUURS35BSA0,2019,M04,2019 Apr,270.553,-2.265,-0.844
CUURS35BSA0,2019,M06,2019 Jun,269.119,1.434,0.530
CUURS35BSA0,2019,M08,2019 Aug,270.176,-1.057,-0.393
CUURS35BSA0,2019,M10,2019 Oct,271.381,-1.205,-0.446
CUURS35BSA0,2019,M12,2019 Dec,270.918,0.463,0.171
CUURS35BSA0,2020,M02,2020 Feb,272.044,-1.126,-0.416
CUURS35BSA0,2020,M04,2020 Apr,269.237,2.807,1.032
CUURS35BSA0,2020,M06,2020 Jun,271.072,-1.835,-0.682
CUURS35BSA0,2020,M08,2020 Aug,273.861,-2.789,-1.029
CUURS35BSA0,2020,M10,2020 Oct,274.193,-0.332,-0.121
CUURS35BSA0,2020,M12,2020 Dec,273.774,0.419,0.153
CUURS35BSA0,2021,M02,2021 Feb,275.849,-2.075,-0.758
CUURS35BSA0,2021,M04,2021 Apr,280.390,-4.541,-1.646
CUURS35BSA0,2021,M06,2021 Jun,284.797,-4.407,-1.572
CUURS35BSA0,2021,M08,2021 Aug,285.472,-0.675,-0.237
CUURS35BSA0,2021,M10,2021 Oct,289.793,-4.321,-1.514
CUURS35BSA0,2021,M12,2021 Dec,293.284,-3.491,-1.205